"","Column1"
"1151","HSP90B1"
"1152","UBE2D1"
"1153","UBE2D2"
"1154","UBE2D3"
"1155","UBE2G1"
"1156","UBE2G2"
"1157","UFD1"
"1158","VCP"
"1159","WFS1"
"1160","MOGS"
"1161","DERL1"
"1162","LMAN1L"
"1163","TUSC3"
"1164","UBXN8"
"1165","EDEM3"
"1166","DNAJC5"
"1167","SEL1L2"
"1168","UBXN6"
"1169","CALR"
"1170","TXNDC5"
"1171","CANX"
"1172","SYVN1"
"1173","DNAJC5B"
"1174","MBTPS1"
"1175","DERL3"
"1176","ATXN3L"
"1177","PLAA"
"1178","BAG2"
"1179","PDIA4"
"1180","SEC24C"
"1181","EDEM1"
"1182","SEC24D"
"1183","RBX1"
"1184","ZMPSTE24"
"1185","NUS1"
"1186","FDPS"
"1187","FNTB"
"1188","ICMT"
"1189","PDSS1"
"1190","HMGCS1"
"1191","IDI1"
"1192","MVD"
"1193","PCYOX1"
"1194","PDSS2"
"1195","DHDDS"
"1196","IDI2"
"1197","RCE1"
"1198","CDKN2B"
"1199","FST"
"1200","LEFTY1"
"1201","ACVR1C"
"1202","CREBBP"
"1203","HJV"
"1204","GDF7"
"1205","DCN"
"1206","E2F5"
"1207","EP300"
"1208","FBN1"
"1209","FMOD"
"1210","BAMBI"
"1211","GREM1"
"1212","AMH"
"1213","AMHR2"
"1214","RGMB"
"1215","ID1"
"1216","ID2"
"1217","ID3"
"1218","ID4"
"1219","BMP8A"
"1220","INHBA"
"1221","INHBC"
"1222","RHOA"
"1223","GDF6"
"1224","LTBP1"
"1225","SMAD2"
"1226","SMAD3"
"1227","SMAD4"
"1228","SMAD5"
"1229","SMAD6"
"1230","SMAD7"
"1231","SMAD9"
"1232","MYC"
"1233","NBL1"
"1234","NEO1"
"1235","NODAL"
"1236","PITX2"
"1237","PPP2CA"
"1238","PPP2CB"
"1239","PPP2R1A"
"1240","PPP2R1B"
"1241","RGMA"
"1242","RBL1"
"1243","ROCK1"
"1244","RPS6KB1"
"1245","RPS6KB2"
"1246","GREM2"
"1247","BMP2"
"1248","BMP4"
"1249","BMP6"
"1250","BMP7"
"1251","BMP8B"
"1252","BMPR1A"
"1253","BMPR1B"
"1254","BMPR2"
"1255","TFDP1"
"1256","TGFB2"
"1257","TGFB3"
"1258","LEFTY2"
"1259","TGFBR2"
"1260","TGIF1"
"1261","THBS1"
"1262","THSD4"
"1263","GDF5"
"1264","ACVR1"
"1265","ACVR2A"
"1266","NOG"
"1267","ACVR2B"
"1268","ZFYVE9"
"1269","ZFYVE16"
